c_5mM.c_0mM___padj,p_5mM.p_0mM___padj,Combined categories
0.94357181,0.000292271,Probable transcriptional regulator
0.561229653,0.002632894,Probable transcriptional regulator
9.99E-06,0.006618487,Probable transcriptional regulator
0.832565169,0.781461395,Probable transcriptional regulator
2.88E-06,0.415206912,Probable transcriptional regulator
0.004053211,0.00015699,Probable transcriptional regulator
0.003486787,0.009048875,Probable transcriptional regulator
0.182747205,0.003234242,Probable transcriptional regulator
0.076306806,0.00023731,Probable transcriptional regulator
0.701307703,5.75E-07,Probable transcriptional regulator
0.021726728,0.058658397,Probable transcriptional regulator
6.23E-10,0.337902713,Probable transcriptional regulator
0.00685424,0.306941997,Probable transcriptional regulator
0.203259832,0.000343085,Probable transcriptional regulator
0.003438654,0.001822816,Probable transcriptional regulator
0.179038009,0.006028021,Probable transcriptional regulator
0.037448652,1.72E-08,Probable transcriptional regulator
0.000121912,0.062716426,Probable transcriptional regulator
8.66E-05,0.903860492,Probable transcriptional regulator
0.720676156,2.62E-09,Probable transcriptional regulator
3.42E-05,0.013695403,Probable transcriptional regulator
0.001216341,0.163550931,Probable transcriptional regulator
2.68E-08,0.911817762,Probable transcriptional regulator
2.84E-07,0.48875774,Probable transcriptional regulator
0.553864417,0.00166283,Probable transcriptional regulator
0.330686543,0.003909587,Probable transcriptional regulator
1.87E-10,0.404085463,Probable transcriptional regulator
0.006426854,1.22E-20,Probable transcriptional regulator
0.007325042,0.107737913,Probable transcriptional regulator
0.012212055,0.479416309,Probable transcriptional regulator
0.000885085,0.030126347,Probable transcriptional regulator
0.189176387,0.001344825,Probable transcriptional regulator
9.13E-11,0.29486799,Probable transcriptional regulator
0.157991365,0.66678445,Probable transcriptional regulator
0.000729333,0.737910205,Probable transcriptional regulator
0.533725553,2.30E-06,Probable transcriptional regulator
0.920361814,0.011451306,Probable transcriptional regulator
0.008296068,0.416768862,Probable transcriptional regulator
0.007870688,0.481239734,Probable transcriptional regulator
0.000265577,0.001410227,Probable transcriptional regulator
8.27E-05,0.006143811,Probable transcriptional regulator
3.80E-06,0.293181569,Probable transcriptional regulator
7.71E-10,0.906343299,Probable transcriptional regulator
5.07E-05,0.330736264,Probable transcriptional regulator
0.809205958,0.000138962,Probable transcriptional regulator
0.349112848,0.462201061,Probable transcriptional regulator
4.14E-07,0.525089049,Probable transcriptional regulator
1.40E-13,3.68E-05,Probable transcriptional regulator
1.45E-07,6.15E-11,Probable transcriptional regulator
0.230406591,0.000208805,Probable transcriptional regulator
0.069558974,0.11942595,Probable transcriptional regulator
4.64E-08,1.55E-08,Probable transcriptional regulator
0.749657312,0.0759062,Probable transcriptional regulator
0.002577488,0.158975928,Probable transcriptional regulator
0.000662596,0.000349684,Probable transcriptional regulator
0.048486499,0.273399686,Probable transcriptional regulator
0.477928129,0.555111122,Probable transcriptional regulator
0.00031875,0.000279886,Probable transcriptional regulator
0.001456094,2.44E-07,Probable transcriptional regulator
0.090221886,0.100554719,Probable transcriptional regulator
2.20E-07,0.074722564,Probable transcriptional regulator
7.79E-13,2.71E-06,Probable transcriptional regulator
0.21187695,0.000364828,Probable transcriptional regulator
0.437069292,0.001670836,Probable transcriptional regulator
0.028166824,0.000272234,Probable transcriptional regulator
0.367200037,0.923804094,Probable transcriptional regulator
0.000398284,0.014523295,Probable transcriptional regulator
3.69E-08,2.48E-07,Probable transcriptional regulator
0.116802207,0.01233638,Probable transcriptional regulator
4.11E-05,0.075561403,Probable transcriptional regulator
1.56E-06,5.53E-05,Probable transcriptional regulator
1.45E-07,0.083095917,Probable transcriptional regulator
0.002260818,0.318717633,Probable transcriptional regulator
3.61E-10,0.23383105,Probable transcriptional regulator
0.413276371,0.004845622,Probable transcriptional regulator
0.014077582,0.000120613,Probable transcriptional regulator
0.005781911,0.9439489,Probable transcriptional regulator
0.398245823,1.46E-10,Probable transcriptional regulator
0.421567023,0.503259141,Probable transcriptional regulator
1.10E-23,0.786345022,Probable transcriptional regulator
3.29E-17,2.03E-06,Probable transcriptional regulator
0.018969949,1.20E-05,Probable transcriptional regulator
0.26164329,0.434206795,Probable transcriptional regulator
0.608876103,0.02360807,Probable transcriptional regulator
0.052673796,0.008749321,Probable transcriptional regulator
0.000276872,0.029117339,Probable transcriptional regulator
0.037205293,0.187357125,Probable transcriptional regulator
0.193778921,0.005892338,Probable transcriptional regulator
0.451402727,0.077383267,Probable transcriptional regulator
0.201526108,0.002426133,Probable transcriptional regulator
0.246210248,2.05E-08,Probable transcriptional regulator
0.618934528,0.245750762,Probable transcriptional regulator
0.248671207,0.968571349,Probable transcriptional regulator
0.964275506,0.871685985,Probable transcriptional regulator
9.03E-17,0.224981649,Probable transcriptional regulator
0.000394523,0.000335473,Probable transcriptional regulator
0.003101885,0.164722021,Probable transcriptional regulator
0.164057725,1.17E-07,Probable transcriptional regulator
0.143542047,9.89E-08,Probable transcriptional regulator
0.011030756,1.15E-05,Probable transcriptional regulator
0.089429661,0.011920424,Probable transcriptional regulator
0.01123606,0.004763544,Probable transcriptional regulator
1.79E-09,0.112361894,Probable transcriptional regulator
0.048200817,0.605716089,Probable transcriptional regulator
1.61E-06,0.970137592,Probable transcriptional regulator
0.073357151,0.194485169,Probable transcriptional regulator
9.74E-12,6.65E-19,Probable transcriptional regulator
0.485159938,0.000269897,Probable transcriptional regulator
0.328304185,1.86E-10,Probable transcriptional regulator
0.675559186,1.01E-14,Probable transcriptional regulator
3.76E-05,0.304260385,Probable transcriptional regulator
6.12E-19,1.09E-06,Probable transcriptional regulator
0.218548272,0.452737579,Probable transcriptional regulator
0.60367829,0.103901115,Probable transcriptional regulator
4.00E-06,6.84E-13,Probable transcriptional regulator
0.004311375,0.571073157,Probable transcriptional regulator
0.234299631,0.742883321,Probable transcriptional regulator
1.01E-29,0.026255852,Probable transcriptional regulator
3.37E-05,7.26E-12,Probable transcriptional regulator
0.576767941,0.000931434,Probable transcriptional regulator
0.777916871,0.081624873,Probable transcriptional regulator
0.031760242,0.003025536,Probable transcriptional regulator
0.291887334,0.029727995,Probable transcriptional regulator
0.138559952,0.426646853,Probable transcriptional regulator
0.001142455,0.353902274,Probable transcriptional regulator
0.001739889,0.00221566,Probable transcriptional regulator
0.202525292,2.85E-11,Probable transcriptional regulator
0.047571128,0.034593455,Probable transcriptional regulator
0.000794516,1.54E-08,Probable transcriptional regulator
0.161220603,0.363860548,Probable transcriptional regulator
0.003919383,1.17E-05,Probable transcriptional regulator
0.04762362,0.1110902,Probable transcriptional regulator
0.1739273,0.001671168,Probable transcriptional regulator
0.03110275,7.12E-07,Probable transcriptional regulator
0.9886134,6.58E-13,Probable transcriptional regulator
0.001249765,0.6470931,Probable transcriptional regulator
0.00086863,0.057087,Probable transcriptional regulator
0.9179163,1.29E-07,Probable transcriptional regulator
4.88E-08,5.04E-05,Probable transcriptional regulator
0.7208009,0.8470674,Probable transcriptional regulator
0.2327036,0.05043265,Probable transcriptional regulator
1.82E-08,0.02137222,Probable transcriptional regulator
0.3676129,9.67E-09,Probable transcriptional regulator
0.006786546,0.002012301,Probable transcriptional regulator
0.3598003,0.9863146,Probable transcriptional regulator
2.29E-05,0.7009326,Probable transcriptional regulator
0.1053047,0.1872212,Probable transcriptional regulator
1.51E-05,1.29E-08,Probable transcriptional regulator
0.2849909,0.7521247,Probable transcriptional regulator
9.87E-26,0.9863146,Probable transcriptional regulator
0.001892575,1.44E-07,Probable transcriptional regulator
0.7662819,0.000256884,Probable transcriptional regulator
8.50E-14,1.20E-06,Probable transcriptional regulator
0.1759694,0.001693364,Probable transcriptional regulator
0.000155711,0.07287082,Probable transcriptional regulator
0.1182859,0.216423,Probable transcriptional regulator
0.04244281,0.1346338,Probable transcriptional regulator
4.58E-12,0.002913323,Probable transcriptional regulator
3.58E-06,0.1068693,Probable transcriptional regulator
0.08356559,4.52E-08,Probable transcriptional regulator
0.002138302,0.000705542,Probable transcriptional regulator
0.7868384,0.004197016,Probable transcriptional regulator
3.65E-10,0.3282005,Probable transcriptional regulator
0.590621,0.1260016,Probable transcriptional regulator
0.000277904,0.05480383,Probable transcriptional regulator
0.1157393,0.6987657,Probable transcriptional regulator
0.5818248,0.005994311,Probable transcriptional regulator
0.000646097,2.88E-05,Probable transcriptional regulator
8.84E-05,0.01897742,Probable transcriptional regulator
0.004172039,0.009543094,Probable transcriptional regulator
0.03355689,3.27E-07,Probable transcriptional regulator
0.000190823,2.22E-18,Probable transcriptional regulator
0.493872087,0.004779026,Iron uptake
0.003130244,0.000303311,Iron uptake
0.693403946,0.042259596,Iron uptake
9.33E-33,0.039154941,Iron uptake
0.006515826,0.05685306,Iron uptake
0.314573822,9.30E-11,Sulfur metabolism
0.051669206,0.069235409,Sulfur metabolism
0.090410043,3.19E-11,Sulfur metabolism
0.025642432,0.897127943,Sulfur metabolism
0.679674672,0.426516702,Sulfur metabolism
0.3524347,0.001329979,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.4480533,0.05898515,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.004409178,4.15E-06,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.000312054,0.163070604,"Biosynthesis of cofactors, prosthetic groups and carriers"
2.30E-24,2.29E-07,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.8633865,0.000894675,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.8293132,0.7429728,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.4793041,0.1039011,"Biosynthesis of cofactors, prosthetic groups and carriers"
1.25E-09,0.412726569,"Biosynthesis of cofactors, prosthetic groups and carriers"
6.19E-13,0.2901222,"Biosynthesis of cofactors, prosthetic groups and carriers"
0.122243503,5.46E-17,Phosphate and phosphonate metabolism and transport
2.57E-08,3.57E-09,Phosphate and phosphonate metabolism and transport
0.003550478,2.51E-98,Phosphate and phosphonate metabolism and transport
0.050452134,2.25E-27,Polyamine metabolism and transport
0.120112007,7.93E-12,Polyamine metabolism and transport
1.34E-05,3.13E-31,Polyamine metabolism and transport
0.00201386,2.10E-09,Polyamine metabolism and transport
0.136036836,1.59E-20,Polyamine metabolism and transport
0.184247836,1.52E-19,Polyamine metabolism and transport
4.62E-30,4.09E-06,Polyamine metabolism and transport
0.000887372,3.55E-24,Polyamine metabolism and transport
5.76E-17,9.37E-09,Polyamine metabolism and transport
0.813606543,3.59E-09,Polyamine metabolism and transport
1.84E-06,0.15972562,Polyamine metabolism and transport
8.80E-16,2.19E-05,Polyamine metabolism and transport
1.35E-06,3.65E-08,Polyamine metabolism and transport
0.028654982,9.90E-07,Polyamine metabolism and transport
0.004057744,4.35E-55,Polyamine metabolism and transport
3.04E-172,2.75E-73,Polyamine metabolism and transport
6.33E-123,2.45E-44,Polyamine metabolism and transport
3.87E-05,8.30E-09,Polyamine metabolism and transport
0.776491213,0.003128736,Polyamine metabolism and transport
0.02053831,1.52E-06,Polyamine metabolism and transport
8.37E-46,0.753075,Polyamine metabolism and transport
6.53E-11,0.000160143,Polyamine metabolism and transport
0.000164143,2.89E-13,Polyamine metabolism and transport
7.56E-05,1.46E-27,Polyamine metabolism and transport
0.030373699,9.36E-62,Polyamine metabolism and transport
0.564270853,1.15E-08,Polyamine metabolism and transport
7.73E-05,0.001932927,Polyamine metabolism and transport
0.02270864,7.18E-05,Polyamine metabolism and transport
0.566856374,1.02E-26,Polyamine metabolism and transport
0.063187496,0.001795362,Polyamine metabolism and transport
0.335832339,4.38E-28,Polyamine metabolism and transport
0.001120906,2.43E-33,Polyamine metabolism and transport
0.007340281,8.00E-08,Polyamine metabolism and transport
0.015901538,0.018965823,Polyamine metabolism and transport
0.8782185,6.82E-51,Polyamine metabolism and transport
1.00E-07,2.94E-09,Polyamine metabolism and transport
9.21E-21,2.81E-26,Polyamine metabolism and transport
0.001711297,2.51E-43,Polyamine metabolism and transport
2.90E-05,1.16E-23,Polyamine metabolism and transport
2.10E-08,1.30E-09,Polyamine metabolism and transport
4.43E-24,0.004095117,Polyamine metabolism and transport
3.90E-17,0.000244206,Polyamine metabolism and transport
0.791102014,3.32E-67,Phosphate and phosphonate metabolism and transport
0.788784718,5.54E-10,Phosphate and phosphonate metabolism and transport
0.271307586,1.10E-15,Phosphate and phosphonate metabolism and transport
0.140577183,1.42E-70,Phosphate and phosphonate metabolism and transport
0.200044967,1.24E-06,Phosphate and phosphonate metabolism and transport
0.817308663,4.54E-15,Phosphate and phosphonate metabolism and transport
0.487747811,6.64E-20,Phosphate and phosphonate metabolism and transport
0.202471913,2.96E-29,Phosphate and phosphonate metabolism and transport
0.379951784,8.34E-14,Phosphate and phosphonate metabolism and transport
0.30830146,3.30E-45,Phosphate and phosphonate metabolism and transport
0.168409816,1.34E-64,Phosphate and phosphonate metabolism and transport
0.929780094,0.014264955,Phosphate and phosphonate metabolism and transport
0.699906083,0.087989519,Phosphate and phosphonate metabolism and transport
3.73E-34,0.650757039,Phosphate and phosphonate metabolism and transport
1.10E-69,5.26E-07,Fatty acid and lipid metabolism and transport
2.94E-05,0.018698463,Fatty acid and lipid metabolism and transport
4.44E-57,1.20E-18,Fatty acid and lipid metabolism and transport
4.90E-98,6.50E-59,Fatty acid and lipid metabolism and transport
4.02E-96,2.40E-29,Fatty acid and lipid metabolism and transport
8.53E-28,1.71E-101,Fatty acid and lipid metabolism and transport
0.014298133,6.81E-12,Fatty acid and lipid metabolism and transport
0.014152157,0.0004456,Cell wall/LPS/membrane proteins/phospholipid
0.097864922,1.03E-76,Cell wall/LPS/membrane proteins/phospholipid
0.001633879,0.000103762,Cell wall/LPS/membrane proteins/phospholipid
0.6183568,4.48E-156,Phosphate and phosphonate metabolism and transport
0.2306337,1.92E-95,Phosphate and phosphonate metabolism and transport
0.011521747,1.29E-52,Phosphate and phosphonate metabolism and transport
0.369191331,1.71E-14,Phosphate and phosphonate metabolism and transport
0.528188218,1.53E-235,Phosphate and phosphonate metabolism and transport
0.006548905,4.88E-27,Phosphate and phosphonate metabolism and transport
0.001459943,1.72E-53,Phosphate and phosphonate metabolism and transport
0.1475218,9.86E-64,Phosphate and phosphonate metabolism and transport
0.86526841,9.51E-218,Phosphate and phosphonate metabolism and transport
0.05490284,8.07E-46,Phosphate and phosphonate metabolism and transport
5.58E-20,0.7504487,Phosphate and phosphonate metabolism and transport
0.006215105,4.19E-18,Phosphate and phosphonate metabolism and transport
6.78E-16,2.96E-42,Phosphate and phosphonate metabolism and transport
1.37E-13,1.12E-09,Phosphate and phosphonate metabolism and transport
0.732500879,2.09E-122,Phosphate and phosphonate metabolism and transport
1.47E-243,1.22E-45,Phosphate and phosphonate metabolism and transport
0.6056045,1.02E-12,Phosphate and phosphonate metabolism and transport
0.08659548,0.6762873,Phosphate and phosphonate metabolism and transport
8.13E-14,0.005475923,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.478384,0.6935816,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.9910478,0.1250139,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
2.43E-05,0.343312296,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
4.14E-06,0.712533787,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.01676867,0.9850623,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.001380979,0.000766187,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.2593615,0.4492222,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.001380979,0.000766187,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.488562286,2.34E-07,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.000245532,0.000440664,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.000245532,0.000440664,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.003646344,7.40E-05,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.003646344,7.40E-05,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.061900637,0.000255792,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.3493739,0.1651493,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.000221314,0.6600538,"Secreted factors (enzymes, pyocine, phenazine, cyanide, toxins, rhamnolipid)"
0.9085832,0.4896246,Carbon metabolism and storage
3.73E-06,0.02411801,Carbon metabolism and storage
0.1153693,0.000679565,Carbon metabolism and storage
2.92E-06,0.1282569,Carbon metabolism and storage
0.000274592,0.00062091,Carbon metabolism and storage
0.3032908,4.85E-07,Carbon metabolism and storage
0.03247323,3.61E-13,Carbon metabolism and storage
3.35E-05,2.07E-12,Carbon metabolism and storage
4.93E-06,5.46E-05,Cell wall/LPS/membrane proteins/phospholipid
0.015476,0.1981657,Cell wall/LPS/membrane proteins/phospholipid
0.01222151,0.02149872,Cell wall/LPS/membrane proteins/phospholipid
0.01213057,0.7499518,Cell wall/LPS/membrane proteins/phospholipid
0.007207245,0.1841192,Cell wall/LPS/membrane proteins/phospholipid
7.76E-11,9.30E-05,Cell wall/LPS/membrane proteins/phospholipid
1.12E-05,0.000942406,Cell wall/LPS/membrane proteins/phospholipid
0.08372091,0.6742154,Cell wall/LPS/membrane proteins/phospholipid
9.16E-06,0.3423346,Cell wall/LPS/membrane proteins/phospholipid
6.85E-20,1.16E-10,Cell wall/LPS/membrane proteins/phospholipid
0.9185824,0.002887868,Cell wall/LPS/membrane proteins/phospholipid
1.79E-16,0.142436,Cell wall/LPS/membrane proteins/phospholipid
0.003061961,0.777918848,Cell wall/LPS/membrane proteins/phospholipid
0.4225826,0.5922565,Cell wall/LPS/membrane proteins/phospholipid
0.4868869,5.35E-08,Cell wall/LPS/membrane proteins/phospholipid
7.86E-05,2.75E-24,"Translation, protein folding and secretion"
3.25E-08,2.71E-28,"Translation, protein folding and secretion"
1.93E-07,3.04E-16,"Stresses (oxidative, heat, cold, osmotic)"
1.86E-100,1.92E-74,"Stresses (oxidative, heat, cold, osmotic)"
2.75E-06,9.49E-16,"Stresses (oxidative, heat, cold, osmotic)"
2.09E-12,2.90E-08,"Stresses (oxidative, heat, cold, osmotic)"
1.60E-14,1.68E-22,"Stresses (oxidative, heat, cold, osmotic)"
7.87E-17,6.71E-34,"Stresses (oxidative, heat, cold, osmotic)"
0.02477159,0.3889321,"Stresses (oxidative, heat, cold, osmotic)"
0.009872419,5.12E-10,"Stresses (oxidative, heat, cold, osmotic)"
0.050515414,2.77E-08,"Stresses (oxidative, heat, cold, osmotic)"
0.020641507,1.58E-12,"Stresses (oxidative, heat, cold, osmotic)"
5.66E-05,0.14879561,"Stresses (oxidative, heat, cold, osmotic)"
1.31E-11,0.612440241,"Stresses (oxidative, heat, cold, osmotic)"
0.333609381,4.65E-14,"Stresses (oxidative, heat, cold, osmotic)"
2.61E-62,0.19994415,"Stresses (oxidative, heat, cold, osmotic)"
5.52E-12,1.57E-11,"Stresses (oxidative, heat, cold, osmotic)"
0.4990367,0.008108447,"Stresses (oxidative, heat, cold, osmotic)"
2.48E-66,0.131012918,"Stresses (oxidative, heat, cold, osmotic)"
1.11E-12,1.01E-07,Energy metabolism
0.000351933,0.012429557,Energy metabolism
0.003009445,0.001548136,Energy metabolism
0.308843603,4.40E-05,Energy metabolism
0.025675451,0.084573736,Energy metabolism
0.011217391,1.10E-07,Energy metabolism
0.008281461,1.07E-11,Energy metabolism
0.011139547,4.95E-07,Energy metabolism
0.309223835,1.51E-09,Energy metabolism
0.03911776,2.64E-05,Energy metabolism
0.804194105,2.35E-18,Energy metabolism
0.816331623,7.95E-12,Energy metabolism
0.008103891,1.15E-05,Energy metabolism
6.81E-11,0.9225163,Energy metabolism
4.34E-18,8.17E-16,Energy metabolism
8.35E-15,0.005226946,Energy metabolism
1.59E-12,0.9613967,Energy metabolism
2.64E-07,0.01053185,Energy metabolism
3.23E-13,3.11E-13,Energy metabolism
3.90E-07,0.4872966,Energy metabolism
1.35E-08,3.04E-06,Energy metabolism
6.05E-24,3.18E-50,Energy metabolism
0.9869432,1.11E-43,Energy metabolism
0.02045153,9.40E-60,Energy metabolism
3.01E-07,2.95E-06,Energy metabolism
1.70E-06,2.20E-08,Energy metabolism
0.004005879,5.00E-80,Energy metabolism
1.41E-05,5.71E-06,Energy metabolism
1.71E-14,0.122449733,Energy metabolism
0.007394318,0.00015522,Energy metabolism
0.000553424,4.45E-18,Energy metabolism
7.19E-17,0.000153946,Energy metabolism
0.234833429,2.45E-10,Energy metabolism
0.03266505,1.55E-13,Energy metabolism
2.58E-18,3.51E-61,Energy metabolism
0.153738553,9.84E-13,Energy metabolism
1.80E-08,8.56E-08,Energy metabolism
4.62E-06,8.87E-07,Energy metabolism
0.8800859,7.65E-22,Energy metabolism
6.48E-34,9.00E-47,Energy metabolism
1.71E-07,7.03E-07,Energy metabolism
0.024480974,7.58E-26,Energy metabolism
0.00367977,1.17E-19,Energy metabolism
6.23E-84,2.13E-09,Energy metabolism
0.04410138,0.8846218,Energy metabolism
9.86E-18,2.03E-13,Energy metabolism
5.58E-72,0.00363066,Energy metabolism
4.08E-05,9.28E-09,Energy metabolism
2.18E-20,7.86E-08,Energy metabolism
2.42E-65,0.004528027,Energy metabolism
1.08E-64,0.001894222,Energy metabolism
4.05E-32,0.000119442,Energy metabolism
1.08E-53,1.63E-09,Energy metabolism
1.77E-60,4.68E-09,Energy metabolism
0.000226151,1.11E-10,Energy metabolism
0.985133513,2.36E-28,Energy metabolism
7.62E-65,0.003710837,Energy metabolism
0.040765598,0.000316393,Energy metabolism
0.000110925,1.41E-05,Cell wall/LPS/membrane proteins/phospholipid
2.57E-22,0.000841405,Cell wall/LPS/membrane proteins/phospholipid
1.31E-05,3.25E-19,Cell wall/LPS/membrane proteins/phospholipid
1.29E-43,0.002793587,Cell wall/LPS/membrane proteins/phospholipid
0.000849529,5.93E-17,"Stresses (oxidative, heat, cold, osmotic)"
8.73E-07,9.59E-20,"Stresses (oxidative, heat, cold, osmotic)"
4.69E-09,3.87E-10,"Stresses (oxidative, heat, cold, osmotic)"
2.63E-17,2.94E-23,"Stresses (oxidative, heat, cold, osmotic)"
1.92E-20,6.35E-13,"Stresses (oxidative, heat, cold, osmotic)"
1.15E-13,4.60E-13,"Stresses (oxidative, heat, cold, osmotic)"
1.43E-07,2.92E-08,"Stresses (oxidative, heat, cold, osmotic)"
2.05E-21,6.95E-21,"Stresses (oxidative, heat, cold, osmotic)"
0.006552767,1.49E-28,"Stresses (oxidative, heat, cold, osmotic)"
2.16E-22,0.003260328,"Stresses (oxidative, heat, cold, osmotic)"
4.59E-07,2.76E-05,"Stresses (oxidative, heat, cold, osmotic)"
0.000185243,1.17E-23,"Stresses (oxidative, heat, cold, osmotic)"
4.75E-07,0.014061955,Cell wall/LPS/membrane proteins/phospholipid
2.89E-44,0.352954681,Nucleotide transport and metabolism
6.59E-19,1.16E-15,Nucleotide transport and metabolism
0.001355485,6.03E-05,Nucleotide transport and metabolism
4.45E-05,7.99E-12,Nucleotide transport and metabolism
1.35E-18,1.66E-07,Nucleotide transport and metabolism
3.36E-14,5.92E-13,Nucleotide transport and metabolism
0.000662596,2.95E-11,Nucleotide transport and metabolism
4.51E-06,5.79E-15,Nucleotide transport and metabolism
0.255769011,1.27E-79,Nucleotide transport and metabolism
5.84E-10,0.000138523,Nucleotide transport and metabolism
0.797316811,1.63E-20,Nucleotide transport and metabolism
0.920217052,1.49E-17,Nucleotide transport and metabolism
0.0044258,0.004756473,Nucleotide transport and metabolism
8.26E-15,0.3381924,Nucleotide transport and metabolism
0.04599616,0.005158694,Nucleotide transport and metabolism
0.015453618,0.165149318,Nucleotide transport and metabolism
6.28E-06,0.194485169,Nucleotide transport and metabolism
0.001929974,0.603714986,Nucleotide transport and metabolism
1.29E-14,0.001679151,Nucleotide transport and metabolism
9.68E-196,1.12E-29,Nucleotide transport and metabolism
4.70E-20,6.94E-13,Nucleotide transport and metabolism
9.93E-17,1.10E-11,Nucleotide transport and metabolism
0.124071867,2.78E-18,Nucleotide transport and metabolism
0.368765974,0.045280599,Nucleotide transport and metabolism
0.000960989,0.004410855,Nucleotide transport and metabolism
0.002881969,0.000117567,Nucleotide transport and metabolism
0.6726003,2.58E-05,Nucleotide transport and metabolism
4.97E-06,0.062775779,Nucleotide transport and metabolism
7.48E-07,0.292611608,Nucleotide transport and metabolism
9.51E-06,0.000424244,Nucleotide transport and metabolism
1.69E-06,0.02473002,Nucleotide transport and metabolism
8.67E-06,3.59E-07,Nucleotide transport and metabolism
0.005026576,3.12E-06,Nucleotide transport and metabolism
2.37E-13,9.79E-05,Nucleotide transport and metabolism
0.000190858,0.193702856,Nucleotide transport and metabolism
3.83E-09,0.01455403,Nucleotide transport and metabolism
0.200188807,0.018263041,Nucleotide transport and metabolism
0.00089061,0.7932796,Nucleotide transport and metabolism
0.9303254,6.41E-05,Nucleotide transport and metabolism
0.1466639,0.001518363,Nucleotide transport and metabolism
0.07912113,0.5990845,Nucleotide transport and metabolism
4.75E-10,0.0263144,Nucleotide transport and metabolism
4.47E-09,0.217057261,Nucleotide transport and metabolism
0.0425039,0.001238508,Nucleotide transport and metabolism
0.03001541,0.2510836,Nucleotide transport and metabolism
0.028907528,1.44E-06,Nucleotide transport and metabolism
9.02E-05,7.12E-07,Nucleotide transport and metabolism
0.273600263,0.586009338,Nucleotide transport and metabolism
3.28E-15,0.07151006,Nucleotide transport and metabolism
2.65E-09,1.21E-05,Nucleotide transport and metabolism
7.08E-09,0.329139045,Nucleotide transport and metabolism
1.67E-30,0.105898111,Nucleotide transport and metabolism
5.20E-13,0.154748459,Nucleotide transport and metabolism
0.000759915,0.0666494,Nucleotide transport and metabolism
3.99E-11,5.49E-35,Nucleotide transport and metabolism
0.05208032,0.000445478,Nucleotide transport and metabolism
0.000316822,0.376516006,Nucleotide transport and metabolism
6.71E-09,6.68E-07,Nucleotide transport and metabolism
3.02E-09,4.58E-07,Nucleotide transport and metabolism
0.890349514,0.056787833,Nucleotide transport and metabolism
8.38E-06,0.001555858,Nucleotide transport and metabolism
3.63E-11,0.029238583,Nucleotide transport and metabolism
0.723283273,3.26E-08,Nucleotide transport and metabolism
1.30E-05,1.79E-05,Nucleotide transport and metabolism
7.49E-18,5.38E-20,Nitrogen metabolism
0.03008714,1.30E-07,Nitrogen metabolism
0.64662722,3.30E-08,Nitrogen metabolism
2.39E-08,7.47E-15,Nitrogen metabolism
0.180768248,2.42E-09,Nitrogen metabolism
0.01069135,3.49E-10,Nitrogen metabolism
0.3150997,2.23E-08,Nitrogen metabolism
6.04E-09,7.23E-07,Nitrogen metabolism
0.07386217,0.1938435,Nitrogen metabolism
2.16E-06,0.009310572,Nitrogen metabolism
0.3060437,0.4188145,Nitrogen metabolism
0.000668337,7.46E-07,Nitrogen metabolism
3.06E-61,0.007625641,Nitrogen metabolism
2.21E-117,0.836801831,Nitrogen metabolism
2.18E-17,0.2839176,Nitrogen metabolism
0.002825023,0.470546172,Nitrogen metabolism
0.00016083,2.33E-06,Nitrogen metabolism
0.084225776,1.67E-11,Nitrogen metabolism
7.78E-06,0.172936686,Nitrogen metabolism
6.35E-06,6.24E-06,Nitrogen metabolism
0.04026677,0.4231129,Nitrogen metabolism
0.279732073,0.521155514,Nitrogen metabolism
0.0316712,0.705298266,Nitrogen metabolism
4.89E-32,0.008631427,Nitrogen metabolism
0.000470191,0.5030384,Nitrogen metabolism
8.53E-59,0.962520978,Nitrogen metabolism
1.07E-133,0.847936127,Nitrogen metabolism
